Chapter,Side,Checkpoint,Room,Name,Type,x,y
0,a,0,3,Prologue - Level Clear,clear,934,115
0,a,0,-1,Prologue - Car,car,210,142
0,a,0,-1,Prologue - Room -1,room,0,184
0,a,0,0,Prologue - Room 0,room,320,184
0,a,0,0b,Prologue - Room 0b,room,320,0
0,a,0,1,Prologue - Room 1,room,768,168
0,a,0,2,Prologue - Room 2,room,1232,96
0,a,0,3,Prologue - Room 3,room,1552,96
1,a,0,1,Forsaken City A - Golden Strawberry,golden,23,112
1,a,2,end,Forsaken City A - Winged Golden Strawberry,golden,93,79
1,a,0,2,Forsaken City A - Room 2 Strawberry,berry,96,40
1,a,0,3,Forsaken City A - Room 3 Strawberry,berry,288,128
1,a,0,3b,Forsaken City A - Room 3b Strawberry,berry,120,64
1,a,0,5,Forsaken City A - Room 5 Strawberry,berry,32,32
1,a,0,5z,Forsaken City A - Room 5z Strawberry,berry,144,248
1,a,0,5a,Forsaken City A - Room 5a Strawberry,berry,240,48
1,a,1,6,Forsaken City A - Room 6 Strawberry,berry,280,104
1,a,1,7zb,Forsaken City A - Room 7zb Strawberry,berry,40,40
1,a,1,s1,Forsaken City A - Room s1 Strawberry,berry,240,96
1,a,1,7z,Forsaken City A - Room 7z Strawberry,berry,64,96
1,a,1,8zb,Forsaken City A - Room 8zb Strawberry,berry,176,72
1,a,1,7a,Forsaken City A - Room 7a Strawberry,berry,336,96
1,a,1,9z,Forsaken City A - Room 9z Strawberry,berry,104,152
1,a,1,8b,Forsaken City A - Room 8b Strawberry,berry,192,24
1,a,1,9,Forsaken City A - Room 9 Strawberry,berry,248,104
1,a,2,9b,Forsaken City A - Room 9b Strawberry,berry,296,80
1,a,2,9c,Forsaken City A - Room 9c Strawberry,berry,200,48
1,a,2,10zb,Forsaken City A - Room 10zb Strawberry,berry,272,144
1,a,2,11,Forsaken City A - Room 11 Strawberry,berry,264,216
1,a,2,12z,Forsaken City A - Room 12z Strawberry,berry,64,104
1,a,1,6,Forsaken City A - Crossing,checkpoint,31,149
1,a,2,9b,Forsaken City A - Chasm,checkpoint,34,137
1,a,2,end,Forsaken City A - Level Clear,clear,256,136
1,a,2,11z,Forsaken City A - Cassette,cassette,230,31
1,a,1,s1,Forsaken City A - Crystal Heart,heart,216,146
1,a,0,1,Forsaken City A - Room 1,room,0,1024
1,a,0,2,Forsaken City A - Room 2,room,240,840
1,a,0,3,Forsaken City A - Room 3,room,496,656
1,a,0,4,Forsaken City A - Room 4,room,736,472
1,a,0,3b,Forsaken City A - Room 3b,room,872,288
1,a,0,5,Forsaken City A - Room 5,room,1024,0
1,a,0,5z,Forsaken City A - Room 5z,room,704,0
1,a,0,5a,Forsaken City A - Room 5a,room,1344,200
1,a,1,6,Forsaken City A - Room 6,room,640,880
1,a,1,6z,Forsaken City A - Room 6z,room,320,880
1,a,1,6zb,Forsaken City A - Room 6zb,room,0,880
1,a,1,7zb,Forsaken City A - Room 7zb,room,0,696
1,a,1,6a,Forsaken City A - Room 6a,room,960,872
1,a,1,6b,Forsaken City A - Room 6b,room,1352,704
1,a,1,s0,Forsaken City A - Room s0,room,1032,560
1,a,1,s1,Forsaken City A - Room s1,room,296,424
1,a,1,6c,Forsaken City A - Room 6c,room,1672,632
1,a,1,7,Forsaken City A - Room 7,room,1880,416
1,a,1,7z,Forsaken City A - Room 7z,room,1352,504
1,a,1,8z,Forsaken City A - Room 8z,room,1400,200
1,a,1,8zb,Forsaken City A - Room 8zb,room,1720,200
1,a,1,8,Forsaken City A - Room 8,room,2040,232
1,a,1,7a,Forsaken City A - Room 7a,room,2200,416
1,a,1,9z,Forsaken City A - Room 9z,room,2040,40
1,a,1,8b,Forsaken City A - Room 8b,room,2360,184
1,a,1,9,Forsaken City A - Room 9,room,2584,0
1,a,2,9b,Forsaken City A - Room 9b,room,848,1016
1,a,2,9c,Forsaken City A - Room 9c,room,1168,1016
1,a,2,10,Forsaken City A - Room 10,room,640,792
1,a,2,10z,Forsaken City A - Room 10z,room,320,832
1,a,2,10zb,Forsaken City A - Room 10zb,room,0,832
1,a,2,11,Forsaken City A - Room 11,room,640,528
1,a,2,11z,Forsaken City A - Room 11z,room,320,568
1,a,2,10a,Forsaken City A - Room 10a,room,960,792
1,a,2,12,Forsaken City A - Room 12,room,696,296
1,a,2,12z,Forsaken City A - Room 12z,room,376,200
1,a,2,12a,Forsaken City A - Room 12a,room,1112,184
1,a,2,end,Forsaken City A - Room end,room,1128,0
1,b,0,00,Forsaken City B - Golden Strawberry,golden,10,110
1,b,0,03,Forsaken City B - Room 03 Binoculars,bino,23,215
1,b,2,09,Forsaken City B - Room 09 Binoculars,bino,23,327
1,b,1,04,Forsaken City B - Contraption,checkpoint,27,145
1,b,2,08,Forsaken City B - Scrap Pit,checkpoint,27,149
1,b,2,end,Forsaken City B - Level Clear,clear,671,64
1,b,0,00,Forsaken City B - Room 00,room,0,840
1,b,0,01,Forsaken City B - Room 01,room,232,656
1,b,0,02,Forsaken City B - Room 02,room,480,472
1,b,0,02b,Forsaken City B - Room 02b,room,744,280
1,b,0,03,Forsaken City B - Room 03,room,1072,0
1,b,1,04,Forsaken City B - Room 04,room,0,752
1,b,1,05,Forsaken City B - Room 05,room,296,568
1,b,1,05b,Forsaken City B - Room 05b,room,632,384
1,b,1,06,Forsaken City B - Room 06,room,960,184
1,b,1,07,Forsaken City B - Room 07,room,1304,0
1,b,2,08,Forsaken City B - Room 08,room,0,1560
1,b,2,08b,Forsaken City B - Room 08b,room,264,1376
1,b,2,09,Forsaken City B - Room 09,room,640,984
1,b,2,10,Forsaken City B - Room 10,room,960,848
1,b,2,11,Forsaken City B - Room 11,room,1456,184
1,b,2,end,Forsaken City B - Room end,room,1520,0
1,c,0,00,Forsaken City C - Golden Strawberry,golden,15,103
1,c,0,01,Forsaken City C - Room 01 Binoculars,bino,55,143
1,c,0,02,Forsaken City C - Room 02 Binoculars,bino,23,55
1,c,0,02,Forsaken City C - Level Clear,clear,991,48
1,c,0,00,Forsaken City C - Room 00,room,0,24
1,c,0,01,Forsaken City C - Room 01,room,688,24
1,c,0,02,Forsaken City C - Room 02,room,1632,0
10,a,1,a-00,Farewell - Golden Strawberry,golden,24,80
10,a,8,j-19,Farewell - Moon Berry,berry,160,1520
10,a,1,a-04,Farewell - Room a-04 Binoculars,bino,31,71
10,a,1,b-06,Farewell - Room b-06 Binoculars,bino,23,55
10,a,2,d-00,Farewell - Room d-00 Binoculars,bino,383,567
10,a,2,d-04,Farewell - Room d-04 Binoculars,bino,39,63
10,a,2,d-03,Farewell - Room d-03 Binoculars,bino,95,159
10,a,2,d-01,Farewell - Room d-01 Binoculars,bino,1479,31
10,a,2,d-02,Farewell - Room d-02 Binoculars,bino,271,903
10,a,2,d-05,Farewell - Room d-05 Binoculars,bino,63,127
10,a,2,e-00yb,Farewell - Room e-00yb Binoculars,bino,23,751
10,a,3,e-00b,Farewell - Room e-00b Binoculars,bino,223,366
10,a,3,e-01,Farewell - Room e-01 Binoculars,bino,127,582
10,a,3,e-02,Farewell - Room e-02 Binoculars,bino,63,110
10,a,3,e-04,Farewell - Room e-04 Binoculars,bino,31,142
10,a,3,e-08,Farewell - Room e-08 Binoculars,bino,119,126
10,a,4,f-06,Farewell - Room f-06 Binoculars,bino,183,39
10,a,4,f-07,Farewell - Room f-07 Binoculars,bino,23,127
10,a,4,f-08,Farewell - Room f-08 Binoculars,bino,55,103
10,a,4,f-09,Farewell - Room f-09 Binoculars,bino,31,167
