ID,Chapter,Side,Checkpoint,Room,Width,Height
0_a_0_-1,0,a,0,-1,320,184
0_a_0_0,0,a,0,0,448,184
0_a_0_0b,0,a,0,0b,432,184
0_a_0_1,0,a,0,1,464,200
0_a_0_2,0,a,0,2,320,184
0_a_0_3,0,a,0,3,992,184
0_a_0,maps,0,.,0_a_0,2544,368
1_a_0_1,1,a,0,1,320,184
1_a_2_10,1,a,2,10,320,224
1_a_2_10a,1,a,2,10a,320,224
1_a_2_10z,1,a,2,10z,320,184
1_a_2_10zb,1,a,2,10zb,320,184
1_a_2_11,1,a,2,11,408,264
1_a_2_11z,1,a,2,11z,320,184
1_a_2_12,1,a,2,12,416,232
1_a_2_12a,1,a,2,12a,320,344
1_a_2_12z,1,a,2,12z,320,200
1_a_0_2,1,a,0,2,320,184
1_a_0_3,1,a,0,3,320,184
1_a_0_3b,1,a,0,3b,320,184
1_a_0_4,1,a,0,4,320,184
1_a_0_5,1,a,0,5,320,288
1_a_0_5a,1,a,0,5a,320,200
1_a_0_5z,1,a,0,5z,320,288
1_a_1_6,1,a,1,6,320,184
1_a_1_6a,1,a,1,6a,392,192
1_a_1_6b,1,a,1,6b,320,288
1_a_1_6c,1,a,1,6c,320,184
1_a_1_6z,1,a,1,6z,320,184
1_a_1_6zb,1,a,1,6zb,320,184
1_a_1_7,1,a,1,7,320,216
1_a_1_7a,1,a,1,7a,368,216
1_a_1_7z,1,a,1,7z,320,200
1_a_1_7zb,1,a,1,7zb,384,184
1_a_1_8,1,a,1,8,320,184
1_a_1_8b,1,a,1,8b,320,184
1_a_1_8z,1,a,1,8z,320,304
1_a_1_8zb,1,a,1,8zb,320,216
1_a_1_9,1,a,1,9,320,184
1_a_2_9b,1,a,2,9b,320,184
1_a_2_9c,1,a,2,9c,320,184
1_a_1_9z,1,a,1,9z,320,192
1_a_2_end,1,a,2,end,320,184
1_a_1_s0,1,a,1,s0,320,232
1_a_1_s1,1,a,1,s1,736,184
1_b_0_00,1,b,0,00,320,184
1_b_0_01,1,b,0,01,320,184
1_b_0_02,1,b,0,02,344,184
1_b_0_02b,1,b,0,02b,400,192
1_b_0_03,1,b,0,03,440,280
1_b_1_04,1,b,1,04,344,192
1_b_1_05,1,b,1,05,392,184
1_b_1_05b,1,b,1,05b,376,184
1_b_1_06,1,b,1,06,344,200
1_b_1_07,1,b,1,07,320,344
1_b_2_08,1,b,2,08,320,184
1_b_2_08b,1,b,2,08b,432,184
1_b_2_09,1,b,2,09,320,392
1_b_2_10,1,b,2,10,496,192
1_b_2_11,1,b,2,11,320,720
1_b_2_end,1,b,2,end,768,184
1_c_0_00,1,c,0,00,688,184
1_c_0_01,1,c,0,01,944,184
1_c_0_02,1,c,0,02,1144,184
1_a_0,maps,1,.,1_a_0,1664,1208
1_a_1,maps,1,.,1_a_1,2904,1064
1_a_2,maps,1,.,1_a_2,1487,1199
1_b_0,maps,1,.,1_b_0,1512,1024
1_b_1,maps,1,.,1_b_1,1624,944
1_b_2,maps,1,.,1_b_2,2288,1744
1_c_0,maps,1,.,1_c_0,2776,208
10_a_1_a-00,10,a,1,a-00,320,184
10_a_1_a-01,10,a,1,a-01,432,184
10_a_1_a-02,10,a,1,a-02,320,184
10_a_1_a-03,10,a,1,a-03,456,184
10_a_1_a-04,10,a,1,a-04,792,184
10_a_1_a-05,10,a,1,a-05,704,184
10_a_1_b-00,10,a,1,b-00,440,184
10_a_1_b-01,10,a,1,b-01,440,184
10_a_1_b-02,10,a,1,b-02,320,184
10_a_1_b-03,10,a,1,b-03,704,280
10_a_1_b-04,10,a,1,b-04,320,184
10_a_1_b-05,10,a,1,b-05,616,184
10_a_1_b-06,10,a,1,b-06,752,488
10_a_1_b-07,10,a,1,b-07,320,208
10_a_2_c-00,10,a,2,c-00,808,512
10_a_2_c-00b,10,a,2,c-00b,984,184
10_a_2_c-01,10,a,2,c-01,520,184
10_a_2_c-02,10,a,2,c-02,976,184
10_a_2_c-03,10,a,2,c-03,320,392
