from,to,items,note
Forsaken City A - Room end_south,Forsaken City A - Golden Strawberry,"entered_at_start,custom_green","Add connection to golden strawberry at collection point requiring starting at level start, custom_green to force OOL in case apworld min items are wrong"
Forsaken City B - Level Clear,Forsaken City B - Golden Strawberry,"entered_at_start,custom_green","Add connection to golden strawberry at collection point requiring starting at level start, custom_green to force OOL in case apworld min items are wrong"
Forsaken City C - Level Clear,Forsaken City C - Golden Strawberry,"entered_at_start,custom_green","Add connection to golden strawberry at collection point requiring starting at level start, custom_green to force OOL in case apworld min items are wrong"
Old Site A - Room 13_west,Old Site A - Golden Strawberry,"entered_at_start,custom_green","Add connection to golden strawberry at collection point requiring starting at level start, custom_green to force OOL in case apworld min items are wrong"
Old Site B - Level Clear,Old Site B - Golden Strawberry,"entered_at_start,custom_green","Add connection to golden strawberry at collection point requiring starting at level start, custom_green to force OOL in case apworld min items are wrong"
Old Site C - Level Clear,Old Site C - Golden Strawberry,"entered_at_start,custom_green","Add connection to golden strawberry at collection point requiring starting at level start, custom_green to force OOL in case apworld min items are wrong"
Celestial Resort A - Room roof07_main,Celestial Resort A - Golden Strawberry,"entered_at_start,custom_green","Add connection to golden strawberry at collection point requiring starting at level start, custom_green to force OOL in case apworld min items are wrong"
Celestial Resort B - Level Clear,Celestial Resort B - Golden Strawberry,"entered_at_start,custom_green","Add connection to golden strawberry at collection point requiring starting at level start, custom_green to force OOL in case apworld min items are wrong"
Celestial Resort C - Level Clear,Celestial Resort C - Golden Strawberry,"entered_at_start,custom_green","Add connection to golden strawberry at collection point requiring starting at level start, custom_green to force OOL in case apworld min items are wrong"
Golden Ridge A - Room d-10_goal,Golden Ridge A - Golden Strawberry,"entered_at_start,custom_green","Add connection to golden strawberry at collection point requiring starting at level start, custom_green to force OOL in case apworld min items are wrong"
Golden Ridge B - Level Clear,Golden Ridge B - Golden Strawberry,"entered_at_start,custom_green","Add connection to golden strawberry at collection point requiring starting at level start, custom_green to force OOL in case apworld min items are wrong"
